constituency_id,constituency_name,prs_size,wage_to_house_price,uc_housing,housing_perc_on_uc,total_hb_incl_social,majority,,
W07000062,Clwyd South,0.11,5.2,1545,0.41,3729,4356,W07000062,Clwyd South
W07000063,Montgomeryshire,0.15,6.4,576,0.25,2267,9285,W07000063,Montgomeryshire
W07000064,Ceredigion,0.20,6.9,540,0.17,3163,104,W07000064,Ceredigion
W07000065,Preseli Pembrokeshire,0.13,6.4,1047,0.26,4055,314,W07000065,Preseli Pembrokeshire
W07000066,Carmarthen West and South Pembrokeshire,0.15,6.3,903,0.24,3735,3110,W07000066,Carmarthen West and South Pembrokeshire
W07000067,Carmarthen East and Dinefwr,0.10,5.1,481,0.18,2729,3908,W07000067,Carmarthen East and Dinefwr
W07000068,Brecon and Radnorshire,0.15,6.8,592,0.25,2382,8038,W07000068,Brecon and Radnorshire
W07000069,Neath,0.09,4.6,1699,0.34,4938,12631,W07000069,Neath
W07000070,Cynon Valley,0.14,3.7,994,0.19,5153,13238,W07000070,Cynon Valley
W07000071,Merthyr Tydfil and Rhymney,0.11,3.5,1567,0.28,5630,16334,W07000071,Merthyr Tydfil and Rhymney
W07000072,Blaenau Gwent,0.13,3.6,1486,0.28,5235,11907,W07000072,Blaenau Gwent
W07000073,Bridgend,0.12,5.6,1388,0.30,4595,4700,W07000073,Bridgend
W07000074,Ogmore,0.12,5,1315,0.27,4810,13871,W07000074,Ogmore
W07000075,Pontypridd,0.12,4.8,739,0.21,3546,11448,W07000075,Pontypridd
W07000076,Caerphilly,0.11,5.1,1155,0.23,5117,12078,W07000076,Caerphilly
W07000077,Islwyn,0.10,4.1,961,0.25,3920,11412,W07000077,Islwyn
W07000078,Vale Of Glamorgan,0.14,7.1,1088,0.20,5388,2190,W07000078,Vale Of Glamorgan
W07000079,Cardiff West,0.16,6.8,2088,0.28,7501,12551,W07000079,Cardiff West
W07000080,Cardiff South and Penarth,0.21,6.1,2583,0.28,9193,14864,W07000080,Cardiff South and Penarth
