constituency_id,constituency_name,prs_size,wage_to_house_price,uc_housing,housing_perc_on_uc,total_hb_incl_social,majority,,
E14000686,Eddisbury,0.11,7.4,1624,0.47,3439,11942,E14000686,Eddisbury
E14000687,Edmonton,0.24,12.3,3670,0.24,15192,21115,E14000687,Edmonton
E14000688,Ellesmere Port and Neston,0.09,5.4,2126,0.46,4666,11390,E14000688,Ellesmere Port and Neston
E14000689,Elmet and Rothwell,0.09,6.9,477,0.18,2606,9805,E14000689,Elmet and Rothwell
E14000690,Eltham,0.12,11,969,0.18,5477,6296,E14000690,Eltham
E14000691,Enfield North,0.19,11.5,2851,0.25,11381,10247,E14000691,Enfield North
E14000692,"Enfield, Southgate",0.24,14.3,1556,0.26,5952,4355,E14000692,"Enfield, Southgate"
E14000693,Epping Forest,0.11,12.1,667,0.19,3537,18243,E14000693,Epping Forest
E14000694,Epsom and Ewell,0.11,13.2,579,0.20,2931,20475,E14000694,Epsom and Ewell
E14000695,Erewash,0.14,5.4,2463,0.48,5158,4534,E14000695,Erewash
E14000696,Erith and Thamesmead,0.18,10.6,1796,0.20,9166,10014,E14000696,Erith and Thamesmead
E14000697,Esher and Walton,0.14,13.7,482,0.15,3293,23298,E14000697,Esher and Walton
E14000698,Exeter,0.22,8.4,1236,0.22,5600,16117,E14000698,Exeter
E14000699,Fareham,0.10,8.1,494,0.20,2459,21555,E14000699,Fareham
E14000700,Faversham and Mid Kent,0.10,11,999,0.26,3797,17413,E14000700,Faversham and Mid Kent
E14000701,Feltham and Heston,0.20,12,5324,0.55,9732,15603,E14000701,Feltham and Heston
E14000702,Filton and Bradley Stoke,0.17,8.2,934,0.27,3398,4190,E14000702,Filton and Bradley Stoke
E14000703,Finchley and Golders Green,0.32,16.4,2006,0.24,8416,1657,E14000703,Finchley and Golders Green
E14000704,Folkestone and Hythe,0.22,8.9,1757,0.29,6073,15411,E14000704,Folkestone and Hythe
E14000705,Forest Of Dean,0.11,7.9,1354,0.41,3300,9502,E14000705,Forest Of Dean
E14000706,Fylde,0.17,6.1,890,0.28,3174,11805,E14000706,Fylde
E14000707,Gainsborough,0.14,6.1,1338,0.32,4186,17023,E14000707,Gainsborough
E14000708,Garston and Halewood,0.11,5.8,1938,0.27,7049,32149,E14000708,Garston and Halewood
E14000709,Gateshead,0.16,5,3898,0.45,8682,17350,E14000709,Gateshead
E14000710,Gedling,0.14,5.9,822,0.20,4069,4694,E14000710,Gedling
E14000711,Gillingham and Rainham,0.18,7.9,1423,0.28,5117,9430,E14000711,Gillingham and Rainham
E14000712,Gloucester,0.18,6.7,2260,0.33,6869,5520,E14000712,Gloucester
E14000713,Gosport,0.15,7.3,904,0.21,4289,17211,E14000713,Gosport
E14000714,Grantham and Stamford,0.16,7.4,2118,0.47,4484,20094,E14000714,Grantham and Stamford
E14000715,Gravesham,0.16,9.2,1599,0.31,5204,9347,E14000715,Gravesham
E14000716,Great Grimsby,0.20,4.9,3513,0.46,7643,2565,E14000716,Great Grimsby
E14000717,Great Yarmouth,0.16,7,4793,0.62,7767,7973,E14000717,Great Yarmouth
E14000718,Greenwich and Woolwich,0.25,12.9,1955,0.19,10099,20714,E14000718,Greenwich and Woolwich
E14000719,Guildford,0.17,11.2,515,0.17,3107,17040,E14000719,Guildford
E14000720,Hackney North and Stoke Newington,0.32,14.6,2135,0.13,16216,35139,E14000720,Hackney North and Stoke Newington
E14000721,Hackney South and Shoreditch,0.25,15.8,2056,0.15,14124,37931,E14000721,Hackney South and Shoreditch
E14000722,Halesowen and Rowley Regis,0.10,6.2,1916,0.43,4495,5253,E14000722,Halesowen and Rowley Regis
E14000723,Halifax,0.18,4.6,3977,0.52,7650,5376,E14000723,Halifax
E14000724,Haltemprice and Howden,0.10,5.4,430,0.28,1509,15405,E14000724,Haltemprice and Howden
E14000725,Halton,0.11,4.9,4405,0.59,7465,25405,E14000725,Halton
E14000726,Hammersmith,0.32,16.8,4537,0.42,10683,18651,E14000726,Hammersmith
E14000727,Hampstead and Kilburn,0.36,17.1,1405,0.15,9611,15560,E14000727,Hampstead and Kilburn
E14000728,Harborough,0.11,8.2,1135,0.40,2813,12429,E14000728,Harborough
E14000729,Harlow,0.11,10.1,2528,0.42,6046,7031,E14000729,Harlow
E14000730,Harrogate and Knaresborough,0.18,7.9,2118,0.58,3667,18168,E14000730,Harrogate and Knaresborough
E14000731,Harrow East,0.20,15.3,1022,0.19,5341,1757,E14000731,Harrow East
E14000732,Harrow West,0.26,12,1328,0.21,6437,13314,E14000732,Harrow West
E14000733,Hartlepool,0.15,4.4,5229,0.58,9006,7650,E14000733,Hartlepool
E14000734,Harwich and North Essex,0.13,8.5,949,0.29,3225,14356,E14000734,Harwich and North Essex
E14000735,Hastings and Rye,0.26,9.1,4133,0.48,8688,346,E14000735,Hastings and Rye
E14000736,Havant,0.10,8.3,858,0.17,4942,15956,E14000736,Havant
E14000737,Hayes and Harlington,0.21,13,1542,0.17,8853,18115,E14000737,Hayes and Harlington
E14000738,Hazel Grove,0.09,6.8,722,0.25,2849,5514,E14000738,Hazel Grove
E14000739,Hemel Hempstead,0.12,10.9,1083,0.20,5550,9445,E14000739,Hemel Hempstead
E14000740,Hemsworth,0.11,5.6,1081,0.19,5606,10174,E14000740,Hemsworth
E14000741,Hendon,0.25,14.5,2484,0.24,10276,1072,E14000741,Hendon
E14000742,Henley,0.13,11.7,791,0.39,2028,22294,E14000742,Henley
E14000743,Hereford and South Herefordshire,0.16,7.8,1300,0.30,4344,15013,E14000743,Hereford and South Herefordshire
E14000744,Hertford and Stortford,0.14,10.3,841,0.25,3423,19035,E14000744,Hertford and Stortford
E14000745,Hertsmere,0.13,12.7,1107,0.24,4548,16951,E14000745,Hertsmere
E14000746,Hexham,0.14,7.8,430,0.21,2004,9236,E14000746,Hexham
E14000747,Heywood and Middleton,0.12,5.5,2826,0.40,7123,7617,E14000747,Heywood and Middleton
E14000748,High Peak,0.13,6.7,875,0.24,3580,2322,E14000748,High Peak
E14000749,Hitchin and Harpenden,0.13,10.2,708,0.28,2559,12031,E14000749,Hitchin and Harpenden
E14000750,Holborn and St Pancras,0.28,20.4,1779,0.14,12367,30509,E14000750,Holborn and St Pancras
E14000751,Hornchurch and Upminster,0.09,11.4,1175,0.25,4708,17723,E14000751,Hornchurch and Upminster
E14000752,Hornsey and Wood Green,0.32,14.6,1634,0.18,8961,30738,E14000752,Hornsey and Wood Green
E14000753,Horsham,0.12,10.9,945,0.31,3027,23484,E14000753,Horsham
E14000754,Houghton and Sunderland South,0.08,5,2118,0.32,6631,12341,E14000754,Houghton and Sunderland South
E14000755,Hove,0.30,10.7,2057,0.32,6400,18757,E14000755,Hove
E14000756,Huddersfield,0.20,5.2,3010,0.41,7408,12005,E14000756,Huddersfield
E14000757,Huntingdon,0.15,9,781,0.22,3565,14475,E14000757,Huntingdon
E14000758,Hyndburn,0.18,4.2,2676,0.44,6071,5815,E14000758,Hyndburn
E14000759,Ilford North,0.16,13.7,984,0.19,5091,9639,E14000759,Ilford North
E14000760,Ilford South,0.30,11.5,1962,0.20,9867,31647,E14000760,Ilford South
E14000761,Ipswich,0.22,7.2,2492,0.33,7665,831,E14000761,Ipswich
E14000762,Isle Of Wight,0.17,8,1953,0.27,7344,21069,E14000762,Isle Of Wight
E14000763,Islington North,0.27,14,2258,0.20,11174,33215,E14000763,Islington North
E14000764,Islington South and Finsbury,0.27,15,2160,0.20,10540,20263,E14000764,Islington South and Finsbury
E14000765,Jarrow,0.08,5.7,2146,0.36,5892,17263,E14000765,Jarrow
E14000766,Keighley,0.16,5.9,1479,0.34,4301,239,E14000766,Keighley
E14000767,Kenilworth and Southam,0.11,9.1,580,0.35,1658,18076,E14000767,Kenilworth and Southam
E14000768,Kensington,0.36,31.1,1585,0.20,8094,20,E14000768,Kensington
E14000769,Kettering,0.15,7.2,1225,0.29,4225,10562,E14000769,Kettering
E14000770,Kingston and Surbiton,0.22,12,1297,0.23,5647,4124,E14000770,Kingston and Surbiton
E14000771,Kingston upon Hull East,0.15,4.8,1450,0.20,7211,10396,E14000771,Kingston upon Hull East
E14000772,Kingston upon Hull North,0.23,5,1585,0.21,7377,14322,E14000772,Kingston upon Hull North
E14000773,Kingston upon Hull West and Hessle,0.23,4.4,1845,0.22,8302,8025,E14000773,Kingston upon Hull West and Hessle
E14000774,Kingswood,0.12,8.8,597,0.20,2935,7500,E14000774,Kingswood
E14000775,Knowsley,0.10,4.7,3461,0.35,9945,42214,E14000775,Knowsley
E14000776,Lancaster and Fleetwood,0.20,5,1785,0.38,4669,6661,E14000776,Lancaster and Fleetwood
E14000777,Leeds Central,0.32,5.1,3493,0.24,14520,23698,E14000777,Leeds Central
E14000778,Leeds East,0.13,6.3,2036,0.23,9003,12752,E14000778,Leeds East
E14000779,Leeds North East,0.16,7.4,909,0.20,4513,16991,E14000779,Leeds North East
E14000780,Leeds North West,0.23,7.4,623,0.23,2748,4224,E14000780,Leeds North West
E14000781,Leeds West,0.18,5,1986,0.24,8129,15965,E14000781,Leeds West
E14000782,Leicester East,0.18,8.7,1570,0.25,6384,22428,E14000782,Leicester East
E14000783,Leicester South,0.28,7,2149,0.27,7904,26261,E14000783,Leicester South
E14000784,Leicester West,0.22,5.9,2492,0.29,8573,11060,E14000784,Leicester West
E14000785,Leigh,0.13,5.3,2667,0.45,5905,9554,E14000785,Leigh
E14000786,Lewes,0.14,9.9,894,0.24,3737,5508,E14000786,Lewes
E14000787,Lewisham East,0.29,12.1,2133,0.23,9368,21213,E14000787,Lewisham East
E14000788,Lewisham West and Penge,0.21,11.4,2372,0.25,9567,23162,E14000788,Lewisham West and Penge
E14000789,"Lewisham, Deptford",0.21,12.3,3177,0.29,10972,34899,E14000789,"Lewisham, Deptford"
E14000790,Leyton and Wanstead,0.31,13.2,1445,0.22,6704,22607,E14000790,Leyton and Wanstead
E14000791,Lichfield,0.10,6.9,1123,0.41,2757,18581,E14000791,Lichfield
E14000792,Lincoln,0.20,5.8,2655,0.37,7141,1538,E14000792,Lincoln
E14000793,"Liverpool, Riverside",0.37,4.4,2371,0.23,10201,35947,E14000793,"Liverpool, Riverside"
E14000794,"Liverpool, Walton",0.21,3,3327,0.30,11206,32551,E14000794,"Liverpool, Walton"
E14000795,"Liverpool, Wavertree",0.26,4.9,1929,0.24,7963,29466,E14000795,"Liverpool, Wavertree"
E14000796,"Liverpool, West Derby",0.16,4.3,2383,0.27,8868,32908,E14000796,"Liverpool, West Derby"
E14000797,Loughborough,0.17,6.2,1230,0.31,3960,4269,E14000797,Loughborough
E14000798,Louth and Horncastle,0.16,6.6,1397,0.32,4379,19641,E14000798,Louth and Horncastle
E14000799,Ludlow,0.15,7.1,861,0.35,2480,19286,E14000799,Ludlow
E14000800,Luton North,0.15,8.1,761,0.15,5030,14364,E14000800,Luton North
E14000801,Luton South,0.29,8.8,1514,0.18,8208,13925,E14000801,Luton South
E14000802,Macclesfield,0.12,7.1,1115,0.34,3241,8608,E14000802,Macclesfield
E14000803,Maidenhead,0.13,11.2,879,0.34,2603,26457,E14000803,Maidenhead
E14000804,Maidstone and The Weald,0.18,9.6,935,0.21,4476,17723,E14000804,Maidstone and The Weald
E14000805,Makerfield,0.10,4.4,1723,0.41,4164,13542,E14000805,Makerfield
E14000806,Maldon,0.10,9.9,494,0.20,2461,23430,E14000806,Maldon
E14000807,Manchester Central,0.35,6.2,5154,0.38,13717,31445,E14000807,Manchester Central
E14000808,"Manchester, Gorton",0.33,5.7,4124,0.38,10802,31730,E14000808,"Manchester, Gorton"
E14000809,"Manchester, Withington",0.32,8.2,2006,0.38,5269,29875,E14000809,"Manchester, Withington"
E14000810,Mansfield,0.14,5.6,1672,0.26,6388,1057,E14000810,Mansfield
E14000811,Meon Valley,0.10,9.1,679,0.26,2564,25692,E14000811,Meon Valley
E14000812,Meriden,0.09,9.1,2873,0.44,6597,19198,E14000812,Meriden
E14000813,Mid Bedfordshire,0.12,9.3,1076,0.39,2725,20983,E14000813,Mid Bedfordshire
E14000814,Mid Derbyshire,0.10,5.7,624,0.34,1861,11616,E14000814,Mid Derbyshire
E14000815,Mid Dorset and North Poole,0.11,10.8,978,0.39,2501,15339,E14000815,Mid Dorset and North Poole
E14000816,Mid Norfolk,0.14,8.2,964,0.28,3385,16086,E14000816,Mid Norfolk
E14000817,Mid Sussex,0.13,10.8,946,0.31,3065,19673,E14000817,Mid Sussex
E14000818,Mid Worcestershire,0.11,8.9,991,0.27,3727,23326,E14000818,Mid Worcestershire
E14000819,Middlesbrough,0.21,4.5,2927,0.28,10624,13873,E14000819,Middlesbrough
E14000820,Middlesbrough South and East Cleveland,0.12,5.3,1387,0.23,6146,1020,E14000820,Middlesbrough South and East Cleveland
E14000821,Milton Keynes North,0.19,8.4,1180,0.18,6509,1975,E14000821,Milton Keynes North
E14000822,Milton Keynes South,0.16,8.9,1257,0.17,7326,1725,E14000822,Milton Keynes South
E14000823,Mitcham and Morden,0.22,12.8,2861,0.39,7405,21375,E14000823,Mitcham and Morden
E14000824,Mole Valley,0.12,15.3,402,0.17,2326,24137,E14000824,Mole Valley
E14000825,Morecambe and Lunesdale,0.17,5.6,3489,0.61,5693,1399,E14000825,Morecambe and Lunesdale
E14000826,Morley and Outwood,0.13,5.5,780,0.22,3546,2104,E14000826,Morley and Outwood
E14000827,New Forest East,0.11,9.9,967,0.33,2907,21995,E14000827,New Forest East
E14000828,New Forest West,0.13,10.5,594,0.24,2433,23431,E14000828,New Forest West
E14000829,Newark,0.13,7.2,1115,0.33,3332,18149,E14000829,Newark
E14000830,Newbury,0.15,9,1440,0.40,3620,24380,E14000830,Newbury
E14000831,Newcastle Upon Tyne Central,0.20,5.2,4957,0.50,9964,14937,E14000831,Newcastle Upon Tyne Central
E14000832,Newcastle Upon Tyne East,0.26,5.4,3658,0.47,7762,19261,E14000832,Newcastle Upon Tyne East
E14000833,Newcastle Upon Tyne North,0.11,5.9,3198,0.55,5778,10349,E14000833,Newcastle Upon Tyne North
E14000834,Newcastle-Under-Lyme,0.11,5,800,0.20,4068,30,E14000834,Newcastle-Under-Lyme
E14000835,Newton Abbot,0.16,9,1020,0.27,3763,17160,E14000835,Newton Abbot
E14000836,"Normanton, Pontefract and Castleford",0.10,5.4,1491,0.21,7035,14499,E14000836,"Normanton, Pontefract and Castleford"
E14000837,North Cornwall,0.16,8.9,1573,0.36,4428,7200,E14000837,North Cornwall
E14000838,North Devon,0.18,9.6,1316,0.31,4221,4332,E14000838,North Devon
E14000839,North Dorset,0.13,10,1166,0.39,2958,25777,E14000839,North Dorset
E14000840,North Durham,0.11,4.1,2414,0.40,6053,12939,E14000840,North Durham
E14000841,North East Bedfordshire,0.11,9.6,1073,0.32,3349,20862,E14000841,North East Bedfordshire
E14000842,North East Cambridgeshire,0.15,7.1,1431,0.29,4984,21270,E14000842,North East Cambridgeshire
E14000843,North East Derbyshire,0.08,5.9,1080,0.30,3589,2860,E14000843,North East Derbyshire
E14000844,North East Hampshire,0.12,10.8,467,0.24,1925,27772,E14000844,North East Hampshire
E14000845,North East Hertfordshire,0.11,9.1,810,0.23,3450,16835,E14000845,North East Hertfordshire
E14000846,North East Somerset,0.10,10,1776,0.58,3062,10235,E14000846,North East Somerset
E14000847,North Herefordshire,0.15,9.5,856,0.31,2732,21602,E14000847,North Herefordshire
E14000848,North Norfolk,0.14,9.6,643,0.22,2966,3512,E14000848,North Norfolk
E14000849,North Shropshire,0.15,7.1,1383,0.37,3730,16355,E14000849,North Shropshire
E14000850,North Somerset,0.11,9.8,784,0.33,2381,17103,E14000850,North Somerset
E14000851,North Swindon,0.14,7.9,2684,0.56,4779,8335,E14000851,North Swindon
E14000852,North Thanet,0.20,9.1,2464,0.40,6134,10738,E14000852,North Thanet
E14000853,North Tyneside,0.12,5.2,2803,0.37,7481,19284,E14000853,North Tyneside
E14000854,North Warwickshire,0.11,6.3,1454,0.39,3753,8510,E14000854,North Warwickshire
E14000855,North West Cambridgeshire,0.16,7.5,2046,0.38,5399,18008,E14000855,North West Cambridgeshire
E14000856,North West Durham,0.12,4.3,2342,0.43,5437,8792,E14000856,North West Durham
E14000857,North West Hampshire,0.12,9,1117,0.31,3591,22679,E14000857,North West Hampshire
E14000858,North West Leicestershire,0.11,6.7,1401,0.43,3282,13286,E14000858,North West Leicestershire
E14000859,North West Norfolk,0.15,7.9,910,0.21,4262,13788,E14000859,North West Norfolk
E14000860,North Wiltshire,0.14,8.6,1212,0.50,2403,22877,E14000860,North Wiltshire
E14000861,Northampton North,0.15,7.6,893,0.21,4312,807,E14000861,Northampton North
E14000862,Northampton South,0.21,6.4,1316,0.22,6013,1159,E14000862,Northampton South
E14000863,Norwich North,0.13,8.1,1105,0.23,4812,507,E14000863,Norwich North
E14000864,Norwich South,0.22,7.1,1544,0.22,7056,15596,E14000864,Norwich South
E14000865,Nottingham East,0.30,5.2,2015,0.21,9624,19590,E14000865,Nottingham East
E14000866,Nottingham North,0.13,5.3,1959,0.19,10235,11160,E14000866,Nottingham North
E14000867,Nottingham South,0.27,6.2,1287,0.22,5955,15162,E14000867,Nottingham South
E14000868,Nuneaton,0.14,6.2,2148,0.43,4996,4739,E14000868,Nuneaton
E14000869,Old Bexley and Sidcup,0.10,10,415,0.17,2382,15466,E14000869,Old Bexley and Sidcup
E14000870,Oldham East and Saddleworth,0.13,5.2,3811,0.52,7353,8182,E14000870,Oldham East and Saddleworth
E14000871,Oldham West and Royton,0.11,4.7,3892,0.49,8024,17198,E14000871,Oldham West and Royton
E14000872,Orpington,0.08,10.7,652,0.23,2832,19461,E14000872,Orpington
E14000873,Oxford East,0.27,11.6,2071,0.31,6663,23284,E14000873,Oxford East
E14000874,Oxford West and Abingdon,0.18,11.2,1072,0.37,2933,816,E14000874,Oxford West and Abingdon
E14000875,Pendle,0.18,3.7,1300,0.28,4572,1279,E14000875,Pendle
E14000876,Penistone and Stocksbridge,0.08,5.5,680,0.25,2741,1322,E14000876,Penistone and Stocksbridge
E14000877,Penrith and The Border,0.15,6.9,791,0.35,2267,15910,E14000877,Penrith and The Border
E14000878,Peterborough,0.19,6.7,3435,0.41,8389,607,E14000878,Peterborough
E14000879,"Plymouth, Moor View",0.10,6.7,2237,0.35,6378,5019,E14000879,"Plymouth, Moor View"
E14000880,"Plymouth, Sutton and Devonport",0.32,6.3,4165,0.41,10272,6807,E14000880,"Plymouth, Sutton and Devonport"
E14000881,Poole,0.18,9.5,1872,0.42,4505,14209,E14000881,Poole
E14000882,Poplar and Limehouse,0.34,10.7,4810,0.32,14851,27712,E14000882,Poplar and Limehouse
E14000883,Portsmouth North,0.15,7.5,1140,0.22,5194,9965,E14000883,Portsmouth North
E14000884,Portsmouth South,0.33,7.4,1956,0.24,8187,1554,E14000884,Portsmouth South
E14000885,Preston,0.22,4.1,2934,0.35,8295,15723,E14000885,Preston
E14000886,Pudsey,0.13,6.5,612,0.22,2794,331,E14000886,Pudsey
E14000887,Putney,0.30,12.8,996,0.17,5746,1554,E14000887,Putney
E14000888,Rayleigh and Wickford,0.08,9.1,761,0.37,2077,23450,E14000888,Rayleigh and Wickford
E14000889,Reading East,0.27,9.8,1702,0.37,4596,3749,E14000889,Reading East
E14000890,Reading West,0.17,10.3,2178,0.36,6065,2876,E14000890,Reading West
E14000891,Redcar,0.11,5.2,1588,0.24,6715,9485,E14000891,Redcar
E14000892,Redditch,0.12,7.7,2074,0.47,4457,7363,E14000892,Redditch
E14000893,Reigate,0.13,10.8,700,0.21,3325,17614,E14000893,Reigate
E14000894,Ribble Valley,0.12,6,824,0.37,2247,13199,E14000894,Ribble Valley
E14000895,Richmond (Yorks),0.18,7.7,1987,0.59,3376,23108,E14000895,Richmond (Yorks)
E14000896,Richmond Park,0.24,16.7,1141,0.28,4149,45,E14000896,Richmond Park
E14000897,Rochdale,0.14,5,3051,0.35,8717,14819,E14000897,Rochdale
E14000898,Rochester and Strood,0.16,7.9,1450,0.28,5259,9850,E14000898,Rochester and Strood
E14000899,Rochford and Southend East,0.24,8.3,3683,0.41,9045,5548,E14000899,Rochford and Southend East
E14000900,Romford,0.13,9.9,1225,0.26,4785,13778,E14000900,Romford
E14000901,Romsey and Southampton North,0.16,9.9,1122,0.42,2642,18046,E14000901,Romsey and Southampton North
E14000902,Rossendale and Darwen,0.15,5.1,1759,0.38,4654,3216,E14000902,Rossendale and Darwen
E14000903,Rother Valley,0.11,5.5,1266,0.32,4006,3882,E14000903,Rother Valley
E14000904,Rotherham,0.12,4.7,2222,0.30,7310,11387,E14000904,Rotherham
E14000905,Rugby,0.14,7.5,2638,0.63,4199,8212,E14000905,Rugby
E14000906,"Ruislip, Northwood and Pinner",0.14,14.8,662,0.21,3148,13980,E14000906,"Ruislip, Northwood and Pinner"
E14000907,Runnymede and Weybridge,0.17,10.6,576,0.18,3130,18050,E14000907,Runnymede and Weybridge
E14000908,Rushcliffe,0.14,8.1,486,0.23,2157,8010,E14000908,Rushcliffe
E14000909,Rutland and Melton,0.14,8.6,1540,0.56,2745,23104,E14000909,Rutland and Melton
E14000910,Saffron Walden,0.12,11.5,970,0.37,2636,24966,E14000910,Saffron Walden
E14000911,Salford and Eccles,0.24,6,2622,0.29,9139,19132,E14000911,Salford and Eccles
E14000912,Salisbury,0.16,10,1696,0.45,3804,17333,E14000912,Salisbury
E14000913,Scarborough and Whitby,0.20,5.9,1988,0.34,5865,3435,E14000913,Scarborough and Whitby
E14000914,Scunthorpe,0.14,4.9,2511,0.48,5229,3431,E14000914,Scunthorpe
E14000915,Sedgefield,0.12,4.3,2152,0.39,5485,6059,E14000915,Sedgefield
E14000916,Sefton Central,0.07,6.7,709,0.39,1837,15618,E14000916,Sefton Central
E14000917,Selby and Ainsty,0.11,6.9,1125,0.40,2824,13772,E14000917,Selby and Ainsty
E14000918,Sevenoaks,0.11,10.8,641,0.23,2754,21917,E14000918,Sevenoaks
E14000919,Sheffield Central,0.36,5.6,1278,0.18,6969,27748,E14000919,Sheffield Central
E14000920,Sheffield South East,0.09,5.3,937,0.17,5379,11798,E14000920,Sheffield South East
E14000921,"Sheffield, Brightside and Hillsborough",0.11,4.9,1878,0.18,10502,19143,E14000921,"Sheffield, Brightside and Hillsborough"
E14000922,"Sheffield, Hallam",0.13,8.3,262,0.17,1501,2125,E14000922,"Sheffield, Hallam"
E14000923,"Sheffield, Heeley",0.11,5.9,1474,0.20,7255,13828,E14000923,"Sheffield, Heeley"
E14000924,Sherwood,0.11,5.6,1033,0.25,4088,5198,E14000924,Sherwood
E14000925,Shipley,0.14,6.4,1153,0.33,3514,4681,E14000925,Shipley
E14000926,Shrewsbury and Atcham,0.15,7.9,1341,0.34,3995,6627,E14000926,Shrewsbury and Atcham
E14000927,Sittingbourne and Sheppey,0.16,8,2436,0.37,6605,15211,E14000927,Sittingbourne and Sheppey
E14000928,Skipton and Ripon,0.17,7.9,1562,0.59,2650,19985,E14000928,Skipton and Ripon
E14000929,Sleaford and North Hykeham,0.12,6.5,896,0.29,3052,25237,E14000929,Sleaford and North Hykeham
E14000930,Slough,0.24,9.8,2377,0.27,8648,16998,E14000930,Slough
